NAME,EMAIL,PHONE,BUILDER,STATES,Contract Availble??,Is it available on E Agent?,WEB PORTAL LINK,EMAIL,PASSWORD,NOTES
,,,Avia Homes,QLD,Yes,YES,https://www.e-agent.com.au,,,
,,,Dream Scope Homes,NSW,Yes,,Login to Smart Property Buying outlook,,,Email comes from  Neha@dreamscopehomes.com.au
,,,Strike Development,QLD,Yes,,Login to Smart Property Buying outlook,,,
,,,Paramount Living,VIC,Yes,,https://paramountliving.com.au/?auth=1&redirect=https%3A%2F%2Fparamountliving.com.au%2Fagent-portal%2F,,,
,,,Silkwood Homes,QLD,Yes,YES,Login to Smart Property Buying outlook,,,
,,,Shape Homes,VIC,Yes,,https://drive.google.com/file/d/11Kbz88NHHh1jJIgwcXWQ69u_zgzhOxG-/view?usp=drive_link,,,BUILDER SENT A PDF FILE ON WEEKLY BASIS
,,,Gdev,QLD/NSW/SA,Yes,YES,https://www.e-agent.com.au/,,,
,,,Creation Homes,QLD,Yes,YES,https://www.e-agent.com.au/,,,
,,,Aplace,VIC,Yes,YES,https://www.e-agent.com.au/,,,
,,,Ausbuild,VIC,Yes,YES,https://www.e-agent.com.au/,,,
,,,Choice Homes,QLD,Yes,YES,https://www.e-agent.com.au/,,,
,,,Alete Homes,SA,Yes,,https://www.e-agent.com.au/,,,
,,,hattan.com.au,VIC,Yes,YES,https://www.e-agent.com.au/,,,
,,,AUSBUILD,QLD,Yes,YES,https://www.e-agent.com.au/,,,
,,,Quality House and Land,VIC,Yes,,,,,
,,,Goldstate,VIC,Yes,,Login to Smart Property Buying outlook,,,
,,,Corbett Homes,,Yes,,----,,,
,,,FRD Homes,QLD,Yes,YES,https://partners.frdhomes.com.au/login,,,
,,,Luxton Homes,VIC,Yes,YES,https://www.e-agent.com.au/,,,
,,,Hattan Homes,VIC,Yes,YES,https://www.e-agent.com.au/,,,
,,,New Developer,NSW,Yes,,Login to Smart Property Buying outlook,,,
,,,B1 Homes,WA,Yes,,Login to Smart Property Buying outlook,,,
,,,Torsion Homes,QLD,Yes,YES,referrer.torsionhomes.au/Stocklist.aspx?DriveID=b!ldfpLfUKb0-SfwUdQKeX-D9Vt1RlEGFGtRVelAKvnO-tlFpJNRKySrB7ASx7oj9H&FolderID=01BHTZ7D3I72ES5FGDP5EZJNIODSQEQ2UE,,,
,,,Hermitage Homes,VIC,,YES,https://portal.hermitagehomes.com.au/,,,
,,,Bathla,NSW,Yes,,https://portal.bathla.com.au/,,,
,,,Home Group,VIC,,,Login to Smart Property Buying outlook,,,Sent email to - Anu.saxena@homegroup.com.au
,,,Leonard Homes,QLD,Yes,,https://www.e-agent.com.au/,,,
,,,Home Buyers,VIC,Yes,,https://www.e-agent.com.au/,,,
,,,Sheridon Homes/ Mcmullanbird,VIC,Yes,,Login to Smart Property Buying outlook,,,sherridonhomes.com.au
,,,Sunny Homes,ACT/NSW,Yes,,we can call this,,,
,,,Royston Homes,VIC,Yes,"Don't have website, contact him directly for packages",Login to Smart Property Buying outlook,,,
,,,VERV,,,YES,https://www.e-agent.com.au/,,,
,,,Proxima,,Yes,,www.proxima.com.au,,,
